text,is_bot
MOTD2 pundit Danny Murphy feels Manchester City played like they had a point to prove against Manchester United and their secondhalf performance was an emphatic statement to anyone who doubted them.,0
Explore the data on coronavirus in the UK and find out how many cases there are in your area.,0
"All legal Covid restrictions in England have ended, with Wales and Scotland also removing rules.",0
"The UK is moving to its living with Covid phase, but the virus still needs to be watched closely.",0
"Care workers in England wont need to be vaccinated, and some people will get a fourth Covid jab.",0
Rules around face coverings are easing across the UK but they are still required in some settings.,0
"What can you expect if you have Covid, and when should you get extra help",0
Key maps and charts explaining how the virus has spread around the world.,0
"People with Covid in England are no longer legally required to selfisolate, although it is still recommended.",0
The government is scrapping free Covid tests for most people in England.,0
"From Friday, fully vaccinated people travelling to the UK no longer have to take any Covid tests.",0
The government has announced the end of all Covid restrictions in England.,0
Consumers are feeling the impact of higher energy costs as fuel prices and household bills jump.,0
Seven crew members were rescued after the Peterheadregistered Njord got into difficulty in the North Sea.,0
A 19yearold Irish woman is among hundreds of international students taking cover in Sumy.,0
The family were posing for a photo when a shooting star shot through the background.,0
Three crew members were airlifted to hospital after the Peterheadregistered Njord got into difficulty.,0
"Lesya and Valeri, both civil defence volunteers, tied the knot at a checkpoint near Kyiv.",0
Investors fear global economic shock as West considers ban on buying Russian energy.,0
"Boris Johnson is to meet the Canadian and Dutch PMs, as the UKs refugee policy comes under scrutiny.",0
Three crew members were airlifted to hospital after the Peterheadregistered Njord got into difficulty.,0
Thai police say theres no sign of foul play in the cricketers death while on holiday on Koh Samui.,0
Match of the Day 2s Danny Murphy and Troy Deeney analyse how the combination play between Phil Foden and Kevin de Bruyne helped Manchester City beat Manchester United 41.,0
Suzie Bates hits 79 not out on her home ground to lead New Zealand to a ninewicket victory over Bangladesh at the Womens World Cup.,0
"Investors fear global economic shock, with rising petrol and energy bills causing more pain for households.",0
"Boris Johnson is to meet the Canadian and Dutch PMs, as the UKs refugee policy comes under scrutiny.",0
He was one of three crew members airlifted to hospital after they were found on the keel of the boat.,0
Thai police say theres no sign of foul play in the cricketers death while on holiday on Koh Samui.,0
Russian gymnast Ivan Kuliak is being investigated after wearing a national war symbol on his leotard as he stood next to a Ukrainian rival on the podium in Qatar on Saturday.,0
"At the central train station in Lviv, many thousands arrive after fleeing bombed out cities further east.",0
The EU says up to four million people may try to escape the war in Ukraine.,0
A 19yearold Irish woman living in Sumy is making an attempt to leave the city amid Russian attacks.,0
"Girikumar Patil, who bought two big cats, said he will not leave home without his pets.",0
Vivianne Miedema becomes the first player to reach 100 Womens Super League goal contributions as leaders Arsenal see off a late Birmingham charge to win 42 at Meadow Park.,0
The Queen returns to inperson meetings with what appears to be a subtle show of support for Ukraine.,0
"Investors fear a global economic shock, with rising fuel bills causing more pain for households.",0
The actress played Nurse Gladys Emmanuel opposite Ronnie Barker and Sir David Jason in the sitcom.,0
The pop singer is accused by two songwriters of copying parts of his 2017 hit Shape Of You.,0
The grime artist was found guilty of assaulting his former partner in London last year.,0
"Boris Johnson calls for more support for Ukraine, amid scrutiny of the UKs refugee policy.",0
Three crew were flown to hospital after being found on the keel of the boat which sailed from Peterhead.,0
A man and woman are arrested on suspicion of a dangerous dogs offence after a threemonthold dies.,0
"Even after a mild infection, the overall size of the brain had shrunk, researchers found.",0
An inquest is being held after Corrie Mckeague vanished after a night out in Suffolk.,0
"At the central train station in Lviv, many thousands arrive after fleeing bombed out cities further east.",0
"Russia says it will offer civilians an evacuation route, but only to territory in Russia and Belarus.",0
The UN says four million people may try to escape the war in Ukraine.,0
Prices for everyday items could go up at a time when the cost of living is already rising.,0
A 19yearold Irish woman living in Sumy is trying to leave the country amid Russian attacks.,0
"Will the Economic Crime Bill really tackle Putins money  or is it too little, too late",0
The decision to declare Wales prop Tomas Francis fit to face France in the Six Nations in Cardiff on Friday has been described as a grave mistake.,0
Iain Henderson is back in Irelands squad for the Six Nations game against England but Jordan Larmour will miss the rest of the tournament.,0
"Jonny Gray, Adam Hastings and two others join the Scotland squad before Saturdays Six Nations meeting with Italy in Rome.",0
"Former West Indies captain Sir Viv Richards, one of the greatest batters of all time, speaks to BBC Sport on his 70th birthday.",0
Russian gymnast Ivan Kuliak is being investigated after wearing a national war symbol on his leotard as he stood next to a Ukrainian rival on the podium in Qatar on Saturday.,0
Thai police say theres no sign of foul play in the cricketers death while on holiday on Koh Samui.,0
"Silent and weeping, a stream of civilians with backpacks try to outpace the Russian shells.",0
The Ukrainian president will speak via video link to British politicians on Tuesday.,0
The Queen returns to inperson meetings with what appears to be a subtle show of support for Ukraine.,0
"Investors fear a global economic shock, with rising fuel bills causing more pain for households.",0
"The actress played Nurse Gladys Emmanuel in the sitcom, and appeared in Come Outside and EastEnders.",0
Boris Johnson says the UK will be very generous  but is facing calls to help more people fleeing.,0
The grime artist was found guilty of assaulting his former partner in London last year.,0
The pop singer is accused by two songwriters of copying parts of his 2017 hit Shape Of You.,0
Food and drink giants have been criticised on social media for failing to speak out on Ukraines invasion.,0
"Meanwhile, the German chancellor says there is no alternative to Russian supplies at the moment.",0
Seven people are dead after tornadoes packing winds of up to 138 mph 222kph tore through Iowa.,0
Russia is still bombarding cities despite offering escape routes. Heres your guide to day 12 of the war.,0
"In Russia, the Z is fast becoming seen as a staunchly prowar symbol  what does it mean",0
"The nuclear power plant was seized on day one of Russias invasion, and workers have not left since.",0
"No visa for at least another week, said Misha, simply. Noone can help us in Calais.",0
The UN says four million people may try to escape the war in Ukraine.,0
"Rita and her children were trapped in Ukraine when Russia invaded. After spending a week in their basement, theyve finally been reunited with Ritas husband and their father Andy.",0
The show where Zelenskys character becomes the unlikely president of Ukraine is airing in the UK.,0
A 19yearold Irish woman living in Sumy is trying to leave the country amid Russian attacks.,0
Red Bull team principal Christian Horner accuses rivals Mercedes of bullying behaviour resulting in the removal of race director Michael Masi.,0
Manchester Uniteds players are becoming increasingly concerned at the managerial void at Old Trafford as their season continues to unravel.,0
Louis Lynagh withdraws from the England squad before Saturdays Six Nations meeting with Ireland following a positive test for Covid19.,0
Explore the data on coronavirus in the UK and find out how many cases there are in your area.,0
A top official says Russia may close its gas lines to Germany if the West halts oil imports.,0
The Ukrainian president will speak via video link to British politicians on Tuesday.,0
"It is an increase on the 50 previously announced, and thousands more are being processed.",0
"The war in Ukraine will lead to an even tighter squeeze on living standards this spring, a think tank says.",0
"A buyer hasnt been found for the ailing supplier, so the the taxpayer will have to keep funding it.",0
"The worlds largest rainforest is fast losing its ability to bounce back from human impacts, researchers say.",0
"The Ukraine war could push millions closer to starvation, the boss of the World Food Programme says.",0
A survey for the BBC suggests 43 of women have experienced unwelcome touching in public.,0
The CDC says 92 of reported side effects after the Pfizer and Moderna vaccines are mild.,0
"Videos from social media show some Russian citizens, at home and abroad, protesting the war in Ukraine.",0
The package of financial support for Ukraine includes a 100m pledge from the UK.,0
Food and drink giants have been criticised on social media for failing to speak out on Ukraines invasion.,0
The BBCs Fergal Keane travels on a bus with disabled children fleeing the bombed city of Kharkiv.,0
False claims have been spreading that the Ukraine war is a hoax and that actors have been involved in staging events.,0
The growing humanitarian crisis in Ukraine and soaring energy prices lead Tuesdays front pages.,0
"Alexs house was destroyed by shelling, and he and his bandmates are sheltering in their basement studio.",0
Designer and fashion icon Vera Wang speaks about ageism and her experience of going viral at 72.,0
The Killing Eve star reveals why she jumped at the chance to join Pixars latest film Turning Red.,0
Valerisssh has posted videos online of her standing outside shelled buildings.,0
A 19yearold Irish woman living in Sumy is trying to leave the country amid Russian attacks.,0
Many countries do not record femicide  the most extreme form of genderbased violence  so activists are doing it themselves.,0
Disgruntled young men who resent feminism are the focus of candidates vying to be president.,0
Elaine Horne donated a kidney to her 23yearold son Luke after he almost died from kidney failure.,0
Indian doctors hope big investment and smart tech will improve a fragmented healthcare sector.,0
BBC Radio 4s Today listeners share their ideas for ways to help Ukrainians in their time of need.,0
"Scotland and Ukraines World Cup playoff semifinal, scheduled for 24 March, is postponed.",0
"With Angel City FC kicking off their debut NWSL campaign this month, Eni Aluko tells BBC Sport about moving to LA and meeting the clubs allstar backers.",0
World number three Alexander Zverev faces an eightweek ban from tennis if he repeats the behaviour which led to his expulsion from the Mexican Open.,0
Joe Root admits he thought long and hard about his future as England captain but believes he is the right man to take the team forward.,0
"Football Focus visits Womens Super League champions Chelsea to discover how their players, and their coach Emma Hayes, have changed womens football over the past few years.",0
A top official says Russia may close its gas lines to Germany if the West halts oil imports.,0
"The UK has granted visas to 300 refugees fleeing the war in Ukraine so far, the Home Office says.",0
Five things you need to know about the coronavirus pandemic this Tuesday morning.,0
What do experts make of the diet Shane Warne was on,0
Will Tyson Fury hang up his gloves after facing Dillian Whyte Plus Anthony Joshua announces new trainer and Amir Khan reportedly wants a rematch with Kell Brook. Its Fight Talk.,0
Alyssa Healy helps Australia secure a comfortable sevenwicket win against Pakistan at the Womens World Cup.,0
"The US bans Russian oil, targeting the Russian economys main artery over its invasion of Ukraine.",0
Ukrainians are determined to defend their capital city as Russian troops prepare for an assault.,0
"Ros Atkins looks at the UKs response to refugees fleeing Ukraine, and its family visa scheme.",0
Western companies are turning their backs on Russia amid sanctions and violence in Ukraine.,0
"Plans to ban or curb Russian oil and gas imports will further hit UK living standards, analysts say.",0
Ukrainian president calls for Russia to be recognised as a terrorist state in a speech to the Commons.,0
Flights linked to Russia are also criminalised in measures targeting figures close to the Kremlin.,0
"Pasha Lee, 33, had signed up to defend his country at the start of the war.",0
The number of children missing at least half of school is also greater than previously thought.,0
Detectable changes involving gut microbes could provide a warning sign that a tumour is present.,0
Social media sites may soon be legally required to stop scam adverts under new online safety laws.,0
A US judge has signed off court papers concluding the court case brought by Virginia Giuffre.,0
James BrittainMcVey tells MPs he wishes he had talked to friends about worries over how he looked.,0
"Ukrainian cities are now occupied by Russian troops, and residents are not making them feel welcome.",0
Russia says it may cut off gas supplies if countries decided to ban Russian oil.,0
"After four days on the run, threeyearold Polina and her mother have made it out of Ukraine.",0
Russian has struggled to gain air supremacy as Ukrainian forces make use of missiles supplied by the West.,0
Families of Russian soldiers in Ukraine tell the BBC the men had no idea what they were getting into.,0
The presenter reflects on the indomitable locals he met in Kyiv  convinced they would defeat the Russians.,0
The Ukrainian presidents address to the Commons and a ban on Russian oil imports dominate the papers.,0
President Zelensky makes an historic address in the House of Commons about the invasion by Russia.,0
"Ukrainian President Volodymyr Zelensky, a comedian who had no experience of politics when elected, has emerged as a convincing war leader.",0
"Henri Seydoux, founder and CEO of French drone specialists Parrot, shares his business advice.",0
The child was filmed singing the track from the Disney film while sheltering in a Ukraine basement.,0
A 19yearold Irish woman living in Sumy is observing a travel curfew as she tries to leave Ukraine.,0
More than 535 doctors from Ukraine joined a call to be taught how to treat injured people.,0
The Ukrainian president reveals his location in Kyiv in a new video shared on social media.,0
Theres frustration and fury among MPs at the Home Offices response to those fleeing the war.,0
Private military contractors see surging demand in Ukraine  but could the work turn mercenary,0
The global internet is under threat as the conflict in Ukraine continues.,0
How is the government helping Ukrainian refugees in the UK and in countries neighbouring Ukraine,0
"With large numbers of nurses emigrating, patient care is suffering as there are not enough staff.",0
Stories about Covid rule breaking in No 10 have gone away but police activities are continuing.,0
England engineer their own downfall in a damaging sevenrun defeat by West Indies at the Womens World Cup in Dunedin.,0
"Liverpools sevenmatch winning run in the Champions League is ended by Inter Milan, but Jurgen Klopps side progress to the quarterfinals with a 21 aggregate win.",0
Jonny Bairstows hundred rescues England after another batting collapse on day one of the first Test against West Indies in Antigua.,0
Robert Lewandowski scores the earliest ever Champions League hattrick as Bayern Munich thrash Red Bull Salzburg 62 on aggregate to reach the quarterfinals.,0
Andy Murray pledges to donate his earnings from prize money for the rest of the year to help children affected by Russias invasion of Ukraine.,0
Wales World Cup playoff semifinal against Austria later this month will be played as scheduled.,0
West Indies Deandra Dottin takes a sensational catch to dismiss Englands Lauren WinfieldHill at the Womens World Cup.,0
"False claims about chemical weapon development are a Russian ploy to justify more attacks, says Jen Psaki.",0
Vadym Prystaiko says most people fleeing Russias invasion are women with children and not a threat.,0
The move could ease a supply crunch as the West and allies shun Russian oil.,0
The foreign secretary will use a speech in Washington to argue for stronger action against Russia.,0
"Private militias are scouring social media to recruit former soldiers, veterans say.",0
The country is expected to see a deep recession this year due to the impact of the Russian invasion.,0
In BBC interview Ukraine central bank boss proposes long list of extra financial sanctions on Russia,0
"The chancellor must decide whether to borrow more or allow household budgets to be squeezed further, the IFS says.",0
Three people died when the train hit a landslide in heavy rain in Aberdeenshire in 2020.,0
"A brave father threw his son, 3, from the window of a burning building down to first responders.",0
"The snakes and horned lizards were concealed in the mans jacket, pants pockets and groin area.",0
Novak Djokovic withdraws from Indian Wells and the Miami Open  the first two Masters Series events of the year  because of US coronavirus rules.,0
Karim Benzema scores a superb secondhalf hattrick as Real Madrid produce a stirring fightback at a raucous Bernabeu to reach the Champions League quarterfinals at the expense of Paris StGermain.,0
"Amid a protest crackdown, young people are still risking freedom to oppose the conflict in Ukraine.",0
A veteran of the SovietAfghan war is among many older Ukrainians now seeking refuge abroad.,0
Ros Atkins looks at why global food price rises appear inevitable as a consequence of Russia invading Ukraine.,0
The department is trying to convince an increasingly sceptical nation it has control of the situation.,0
A hospital is attacked as civilians try to escape. Here is your guide to the 14th day of fighting.,0
A picture of a pregnant woman being carried from the wreckage in Mariupol dominates the papers.,0
Dolly Parton has written her first novel with the help of bestselling author James Patterson.,0
The 12yearold wrote to Disney three years ago asking them to create a lead female character with glasses.,0
Video captured by underwater robots of the shipwreck shows Endurance to be in remarkable condition.,0
The boss of Halifaxs Acapulco club says its crazy floor covering holds years of memories.,0
"Guy Reffitt was convicted of taking part in the 6 January riots, in part due to testimony from his own son.",0
The PM claimed the UK had done more to resettle vulnerable people than any other European country.,0
"Prime Minister Naftali Bennett is an unlikely mediator between Kyiv and Moscow, Tom Bateman says.",0
Musician Shona chose to have her leg amputated after years of pain  now shes a Paralympian.,0
Low water levels mean riverside communities lose much of their income and their mode of transport.,0
"Azeem Ahmad, who donated one of his kidneys to a stranger, says, years on, he still has no regrets.",0
"Baldwin was played by Toby Jones in the Baftawinning BBC film Marvellous, which is now on stage.",0
A mixed showing from Englands bowlers allows West Indies to edge an attritional second day of the first Test in Antigua.,0
An emotional Tiger Woods chokes back the tears as he is inducted into the World Golf Hall of Fame on Wednesday after a moving speech by his 14yearold daughter Sam.,0
Is it too dark Should I wear something different BBC Sport looks at the reality of being a woman out running and what is done to make it safer.,0
ExHaas driver Nikita Mazepin and his father Dmitry are added to a list of Russians sanctioned over the invasion of Ukraine.,0
Manchester City manager Pep Guardiola says he has learned to enjoy the moment as his side cruise into the quarterfinals of the Champions League with a 00 draw against Sporting Lisbon.,0
MOTDx meets Liverpool midfielder Harvey Elliott to discuss his familys role in his recovery from serious injury and their pride in his place in Champions League history,0
Quentin Sommerville and cameraman Darren Conway are with Ukrainian forces fighting to stop the Russian advance on the countrys second city.,0
"The convoy has now largely dispersed, with artillery set up in firing positions, a US company says.",0
"Details of a sponsorship visa scheme to host Ukrainians will be revealed on Monday, Boris Johnson says.",0
Reputational risk and practical difficulties are making it harder to do business in the country.,0
Posts from the Russian embassy in the UK claiming the bombing of a maternity hospital was faked have been taken down.,0
"Meta, the owner of Facebook and Instagram, will temporarily make allowances for some violent speech.",0
A Chicago judge told Jussie Smollett that he has turned his life upside down with the hoax.,0
The US says the two recent tests were a serious escalation and vows to further sanction N Korea.,0
Chelsea FC owner Roman Abramovich one of seven oligarchs sanctioned by the UK government.,0
Chelsea beat bottom club Norwich as Mason Mount scores one and makes another on the day his clubs longterm future is thrown into uncertainty.,0
"Official records say six million have died, but the true figure may be over 18 million, say researchers.",0
The probe will look at areas including preparedness and the public health response to the pandemic.,0
"A report says school closures damaged learning in England, with big regional differences.",0
The BBC spent a week with Ukrainian forces in Kharkiv as they fight to stop a further Russian advance.,0
"Photos and satellite images show the devastation caused to the southern Ukrainian city, which is encircled by Russian troops.",0
Tens of thousands of children in Ukrainian state care are in desperate need to get out of the country.,0
"If Russia has carried out war crimes in Ukraine, how could Putin or senior officers be brought to justice",0
Luke Morgan has spent the last fortnight helping his wifes family get to the UK from Ukraine.,0
Western nations have imposed severe sanctions on Russia over its invasion of Ukraine.,0
On the frontline in the battle for Kharkiv  and Ukrainians rescue their grandmothers from Russian shelling.,0
Drone footage appears to show Russian tanks under attack on the outskirts of Kyiv.,0
An unexploded 500kg 1102lb bomb was discovered in Chernihiv in northern Ukraine.,0
What do sanctions imposed on Roman Abramovich mean for Chelsea and the clubs supporters BBC Sport answers some of the key questions.,0
"What is a thermobaric or vacuum bomb, and why is Russia using them in the war in Ukraine",0
Claims the Chelsea owner has blood on his hands and a plea to host refugees feature in the papers.,0
How closely have you been paying attention to whats been going on during the past seven days,0
The BBC spoke to four black women about their experiences with pregnancy loss in the US healthcare system.,0
"Nearly 20,000 international volunteers have signed up to fight alongside Ukrainian forces, officials say.",0
The BBC follows some of the thousands of students whove been evacuated from the war.,0
Will decided to help after finding out from his mum a war was taking place.,0
"The piece was by David Costa, an artist who worked with Elton John, The Beatles and Queen.",0
A bag of weapons found before she died has been linked to killer Michael Sellers.,0
"An energy strategy is due  but can it get the UK off Russian gas, cut bills and help the environment",0
The real reasons companies are making an extra effort to find out if their staff are happy or not.,0
"The thousands of manuscripts contain centuries of African writing on maths, medicine and more.",0
Russia has threatened to cut off gas supplies if countries ban its oil.,0
Thomas Tuchel says Chelsea face an uncertain future but vows the team will keep competing on the pitch.,0
An uninspiring England toil as Nkrumah Bonners determined century puts West Indies on top after day three of the first Test in Antigua.,0
Rangers take a significant step towards the Europa League quarterfinals with a pulsating statement win over Red Star Belgrade at a raucous Ibrox.,0
Mercedes are at the centre of a row over the legality of their car after introducing a radical new design at the second preseason test.,0
Chelsea manager Thomas Tuchel is hopeful a solution will be found to keep the club going after sanctions were imposed on owner Roman Abramovich.,0
Chelsea bounce back from their Continental Cup final defeat and thrash West Ham to go within five points of league leaders Arsenal with two games in hand.,0
"As Russian forces continue their slow advance, Kyivs residents fear the worst for their city.",0
"In the southern city of Mykolaiv, Ukrainian forces are battling to stop the Russian advance.",0
Funerals are held for the first Ukrainian victims of the UkraineRussia war.,0
Chelseas credit card facilities are temporarily suspended while banks assess the implications of the sanctions imposed on Russian billionaire owner Roman Abramovich.,0
War in Ukraine has focused minds on how to get enough affordable energy for homes and businesses.,0
There is growing concern that tougher regulations for funeral plan providers could hit many customers.,0
It comes after the BBC is shown a letter which also claims gay affection is cut from Pixar content.,0
Parents seeking gender transition for their children may not be investigated for socalled abuse.,0
France keep alive their dreams of a first Grand Slam and Six Nations title since 2010 with a tense 139 victory over Wales.,0
Zak Crawley hits his second Test hundred as England dominate West Indies on day four of the first Test to set up an outside chance of victory.,0
"The Queen will not attend next weeks service at Westminster Abbey, Buckingham Palace says.",0
Politicians who voted to recognise two areas of Ukraine as independent have their UK assets frozen.,0
"A form of Omicron called BA.2 is now the most common variant in most of the UK, figures suggest.",0
The picturesque western city of Lviv is racing to protect is cultural and religious artefacts.,0
"Social media channels and private messaging groups are being used to recruit, the BBC has learned.",0
The BBC finds no evidence for Russian claims that Ukraine is developing biological weapons with US support.,0
A Norwegian computer expert has made a system for volunteers to email millions of Russian people about the war,0
Western nations have imposed severe sanctions on Russia over its invasion of Ukraine.,0
"Mariana Vishegirskaya, a beauty blogger, has reportedly given birth to a baby girl.",0
"Vladimir Putin paves the way for foreign fighters to join the war, while Russia widens its attacks.",0
Extraction unit evacuating orphanages in the war zone say traffickers targeted children at the Ukraine border.,0
BBC correspondents Lyse Doucet and Jenny Hill answer readers questions on Ukraine,0
The BBC spent a week with Ukrainian forces in Kharkiv as they fight to stop a further Russian advance.,0
Reputational risk and practical difficulties means the exodus of firms is growing but some remain.,0
What do sanctions imposed on Roman Abramovich mean for Chelsea and the clubs supporters BBC Sport answers some of the key questions.,0
The coming battle for Ukraines capital and the ongoing fallout dominates the headlines.,0
Georgie received an anonymous tipoff on Facebook that intimate photos of her were being shared online.,0
What do you do when your collection of millions of books keeps growing but your bookshelves dont,0
"Alex, Alistair and Theo are among a community of urban explorers who document the history of decaying structures.",0
"A selection of powerful images from all over the globe, taken in the past seven days.",0
A charity competition is encouraging school kids to get entrepreneurial and make their own products.,0
This is the first time the freefrom category produced an overall winning pie.,0
Experts believe a drone that crashed in Zagreb was a Sovietera type used by the Ukrainian military.,0
The movie review show presented by critic Mark Kermode and presenter Simon Mayo will end in April.,0
"A jury has sentenced the US actor for lying about being the victim of a racist, homophobic attack.",0
Authorities in Honduras destroy cocaine seized in various operations in the country since 2020.,0
"Lena Kamolikova came from London to collect her Ukrainian mother Raisa, but they face a lengthy process to apply for a UK visa.",0
Four black women explain their devastating experiences with pregnancy loss in US healthcare system.,0
"The Scot made his acting debut in Ken Loachs gritty drama Sweet Sixteen, released 20 years ago.",0
How socalled scalpers use online bots to snap up consoles and resell them for profit.,0
"Bryn Perry, from Pembrokeshire, recycles leftover whey from his cheesemaking to produce the spirit.",0
"Australians are reeling from one of their worst natural disasters, but many despair at a sense of dj vu.",0
The authorities are struggling to keep a lid on pro and antiRussian views being discussed online.,0
Tetyana Nesterchuk is safe in London while her sister Mariia has chosen to stay in wartorn Ukraine.,0
Explore the data on coronavirus in the UK and find out how many cases there are in your area.,0
"For abuse survivors, Fridays apology has been hard fought  but the years of pain are as vivid as ever.",0
"MPs are not short of ideas for the chancellor to help struggling families, but all come at a price.",0
"Emma Raducanu gets past Caroline Garcia, while fellow Brit Harriet Dart overcomes Elina Svitolina to reach the third round at Indian Wells.",0
Andy Murray fights back from a set down to beat Taro Daniel 16 62 64 in the first round at Indian Wells as he secures a 700th win on the ATP Tour.,0
Britains Menna Fitzpatrick narrowly misses another Winter Paralympic medal with fourth in the visuallyimpaired slalom.,0
"England have promised physicality, but will also need unseen accuracy and ambition to derail a resurgent Ireland in Twickenham showdown.",0
Watch highlights as France keep alive their dreams of a first Grand Slam and Six Nations title since 2010 with a tense 139 win over Wales.,0
West Indies Hayley Matthews takes a sensational catch at first slip to remove Indias Deepti Sharma during their Womens World Cup match in Hamilton.,0
Martin Johnson praises Dan Biggars very impressive performance in Wales narrow 139 defeat to France at the Principality Stadium.,0
New attempts are under way to get civilians out of bombed Ukrainian cities as Russias attack intensifies.,0
"Households are encouraged to join the national effort, but critics say the plan falls short.",0
Daniel Litvak helped Russian billionaire Roman Abramovich obtain Portuguese citizenship.,0
"Protesters demand change a year since clashes with police at an unauthorised vigil for Sarah Everard,",0
The first ministers want Ukrainians to be housed quickly and given help with safeguarding and services.,0
Michel Martin and Boris Johnson met prior to attending the IrelandEngland rugby match on Saturday.,0
England have to settle for a draw in the first Test against West Indies despite a spirited performance on the final day in Antigua.,0
The president accuses the Russians of moving to a new stage of terror as Melitopol residents protest.,0
"Blind staff at failed 168yearold business say they are owed pay, redundancy and furlough money.",0
The range of charges on which the men were convicted included terrorism and holding deviant beliefs.,0
"Neil Gillingham, from Kilmarnock, went missing on a walk with his dog last Sunday on Stob Coire Sgreamhach.",0
The singer shovels gravel on the road and claims his Ferrari cannot get through the potholes.,0
Cristiano Ronaldo scores a hattrick as Manchester United beat Tottenham to move into the Champions League places.,0
Young volunteers swap their studies for assault rifles as they prepare to defend Kyiv from Russian forces.,0
Many Russians who can afford it have fled to nearby countries since Russia invaded Ukraine.,0
Prices are rising in Russia and some goods are harder to buy. Here are ways sanctions are affecting daily life.,0
Russian troops have expanded their offensive as they continue attempts to cut off the capital Kyiv.,0
Yevgeny says it is his responsibility as a Russian to help Ukrainians.,0
The new scheme that will allow people in the UK to host Ukrainian refugees dominates the front pages.,0
A selection of striking images from our readers around the world.,0
"When 200 French sex workers took refuge in a church, it started a movement",0
Images from Russias invasion of Ukraine show a conflict turning deadlier nearly three weeks on.,0
Omar Mehtab spoke to a scalper a person who stockpiles popular products and resells them for profit.,0
"The ban on Russian oil exports is causing prices to surge, and leaders are revisiting some awkward friendships.",0
